-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us     672.376ms        65.19%     672.376ms     102.061us          6588  
                   execute_context_0(0)_generation_1(5)         0.00%       0.000us         0.00%       0.000us       0.000us     668.923ms        64.86%     668.923ms      33.446ms            20  
                   execute_context_0(0)_generation_1(6)         0.00%       0.000us         0.00%       0.000us       0.000us     546.934ms        53.03%     546.934ms      34.183ms            16  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us     213.149ms        20.67%     213.149ms      35.525ms             6  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     139.608ms        13.54%     139.608ms      40.714us          3429  
                   execute_context_0(0)_generation_1(4)         0.00%       0.000us         0.00%       0.000us       0.000us     131.743ms        12.77%     131.743ms      32.936ms             4  
                  execute_context_1(23)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      98.007ms         9.50%      98.007ms       1.508ms            65  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      69.666ms         6.75%      69.666ms     627.625us           111  
                                  _C::cutlass_scaled_mm         0.21%     667.256us         0.37%       1.156ms      48.167us      31.133ms         3.02%      31.133ms       1.297ms            24  
void cutlass::Kernel2<enable_sm89_to_sm90<cutlass::g...         0.00%       0.000us         0.00%       0.000us       0.000us      31.133ms         3.02%      31.133ms       1.297ms            24  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      19.172ms         1.86%      19.172ms      17.366us          1104  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      14.657ms         1.42%      14.657ms       2.966us          4941  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      11.276ms         1.09%      11.276ms       1.655us          6815  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       9.533ms         0.92%       9.533ms      38.751us           246  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       8.982ms         0.87%       8.982ms     103.238us            87  
                                       vllm::all_gather         0.78%       2.462ms         1.52%       4.769ms     190.777us       6.694ms         0.65%       6.888ms     275.527us            25  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.902ms         0.38%       3.902ms       3.535us          1104  
