-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        _C::marlin_gemm         0.00%      36.037us         0.01%      76.193us      76.193us     635.228us         0.06%     635.228us     635.228us             1  
triton_poi_fused_mul_per_token_group_fp8_quant_sigmo...         0.00%       0.000us         0.00%       0.000us       0.000us     616.192us         0.06%     616.192us       1.245us           495  
                                     triton_poi_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us     593.984us         0.06%     593.984us       1.547us           384  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     576.002us         0.06%     576.002us       1.168us           493  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     574.849us         0.06%     574.849us       1.671us           344  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us     527.040us         0.05%     527.040us       1.065us           495  
triton_poi_fused__to_copy_add_cat_clone_rms_norm_sli...         0.00%       0.000us         0.00%       0.000us       0.000us     521.207us         0.05%     521.207us       1.357us           384  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     412.069us         0.04%     412.069us       1.477us           279  
        vllm::qwen_gdn_attention_core_fused_norm_packed         2.06%      21.930ms         6.42%      68.210ms       1.421ms     396.986us         0.04%       2.999ms      62.488us            48  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     378.206us         0.04%     378.206us       2.844us           133  
                    merge_16x16_to_64x64_inverse_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     358.080us         0.04%     358.080us       7.460us            48  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     352.411us         0.04%     352.411us       3.147us           112  
                               triton_poi_fused_zeros_3         0.00%       0.000us         0.00%       0.000us       0.000us     322.554us         0.03%     322.554us       0.896us           360  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     317.058us         0.03%     317.058us       2.856us           111  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     311.108us         0.03%     311.108us       1.401us           222  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     298.205us         0.03%     298.205us       6.086us            49  
                     _compute_local_logits_stats_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     292.959us         0.03%     292.959us      12.737us            23  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     289.375us         0.03%     289.375us       1.581us           183  
                                 aten::_index_put_impl_         0.12%       1.326ms         0.43%       4.587ms      38.224us     280.608us         0.03%     480.644us       4.005us           120  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     269.344us         0.03%     269.344us       1.995us           135  
         chunk_gated_delta_rule_fwd_kernel_h_blockdim64         0.00%       0.000us         0.00%       0.000us       0.000us     262.881us         0.03%     262.881us       5.477us            48  
                                     triton_red_fused_0         0.00%       0.000us         0.00%       0.000us       0.000us     246.913us         0.02%     246.913us       2.224us           111  
                               recompute_w_u_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     234.495us         0.02%     234.495us       4.885us            48  
                                       _resample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     228.479us         0.02%     228.479us       9.934us            23  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     225.951us         0.02%     225.951us       3.138us            72  
                            _update_draft_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     222.113us         0.02%     222.113us       2.553us            87  
                                     triton_poi_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us     218.687us         0.02%     218.687us       1.970us           111  
triton_red_fused__to_copy_add_per_token_group_fp8_qu...         0.00%       0.000us         0.00%       0.000us       0.000us     215.096us         0.02%     215.096us       1.938us           111  
                              _causal_conv1d_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     211.137us         0.02%     211.137us       4.399us            48  
