-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us     672.155ms        64.85%     672.155ms     102.027us          6588  
                   execute_context_0(0)_generation_1(5)         0.00%       0.000us         0.00%       0.000us       0.000us     668.930ms        64.54%     668.930ms      33.446ms            20  
                   execute_context_0(0)_generation_1(6)         0.00%       0.000us         0.00%       0.000us       0.000us     546.931ms        52.77%     546.931ms      34.183ms            16  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us     213.145ms        20.57%     213.145ms      35.524ms             6  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     145.642ms        14.05%     145.642ms      42.474us          3429  
                   execute_context_0(0)_generation_1(4)         0.00%       0.000us         0.00%       0.000us       0.000us     131.745ms        12.71%     131.745ms      32.936ms             4  
                  execute_context_1(23)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      98.453ms         9.50%      98.453ms       1.515ms            65  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      69.662ms         6.72%      69.662ms     627.585us           111  
                                  _C::cutlass_scaled_mm         0.22%     585.295us         0.37%     999.922us      41.663us      31.118ms         3.00%      31.118ms       1.297ms            24  
void cutlass::Kernel2<enable_sm89_to_sm90<cutlass::g...         0.00%       0.000us         0.00%       0.000us       0.000us      31.118ms         3.00%      31.118ms       1.297ms            24  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      19.158ms         1.85%      19.158ms      17.353us          1104  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      14.680ms         1.42%      14.680ms       2.971us          4941  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      11.338ms         1.09%      11.338ms       1.664us          6815  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       9.353ms         0.90%       9.353ms      38.021us           246  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       8.979ms         0.87%       8.979ms     103.201us            87  
                                       vllm::all_gather         0.68%       1.839ms         1.36%       3.661ms     146.451us       6.433ms         0.62%       6.627ms     265.084us            25  
                                       vllm::all_reduce         0.71%       1.905ms         0.99%       2.655ms     106.213us       4.614ms         0.45%       4.614ms     184.573us            25  
