-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us     672.254ms        66.32%     672.254ms     102.042us          6588  
                   execute_context_0(0)_generation_1(5)         0.00%       0.000us         0.00%       0.000us       0.000us     668.908ms        65.99%     668.908ms      33.445ms            20  
                   execute_context_0(0)_generation_1(6)         0.00%       0.000us         0.00%       0.000us       0.000us     546.918ms        53.95%     546.918ms      34.182ms            16  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us     213.131ms        21.02%     213.131ms      35.522ms             6  
                   execute_context_0(0)_generation_1(4)         0.00%       0.000us         0.00%       0.000us       0.000us     131.741ms        13.00%     131.741ms      32.935ms             4  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     122.267ms        12.06%     122.267ms      35.657us          3429  
                  execute_context_1(23)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      98.252ms         9.69%      98.252ms       1.512ms            65  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      69.674ms         6.87%      69.674ms     627.698us           111  
                                  _C::cutlass_scaled_mm         0.22%     661.660us         0.38%       1.146ms      47.746us      31.358ms         3.09%      31.358ms       1.307ms            24  
void cutlass::Kernel2<enable_sm89_to_sm90<cutlass::g...         0.00%       0.000us         0.00%       0.000us       0.000us      31.358ms         3.09%      31.358ms       1.307ms            24  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      19.198ms         1.89%      19.198ms      17.390us          1104  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      14.618ms         1.44%      14.618ms       2.958us          4941  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      11.311ms         1.12%      11.311ms       1.660us          6815  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       9.392ms         0.93%       9.392ms      38.180us           246  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       8.980ms         0.89%       8.980ms     103.217us            87  
                                       vllm::all_gather         0.82%       2.502ms         1.55%       4.742ms     189.678us       6.368ms         0.63%       6.561ms     262.458us            25  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       3.890ms         0.38%       3.890ms       3.523us          1104  
