-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us     788.756ms        62.25%     788.756ms     110.905us          7112  
                   execute_context_0(0)_generation_1(5)         0.00%       0.000us         0.00%       0.000us       0.000us     710.537ms        56.08%     710.537ms     993.758us           715  
                   execute_context_0(0)_generation_1(6)         0.00%       0.000us         0.00%       0.000us       0.000us     385.786ms        30.45%     385.786ms     989.195us           390  
                   execute_context_0(0)_generation_1(4)         0.00%       0.000us         0.00%       0.000us       0.000us     319.239ms        25.19%     319.239ms     982.275us           325  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us     189.618ms        14.96%     189.618ms     972.399us           195  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     172.517ms        13.62%     172.517ms      46.677us          3696  
                  execute_context_1(23)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      99.945ms         7.89%      99.945ms       1.538ms            65  
                                        _C::marlin_gemm         0.29%       4.419ms         0.61%       9.269ms      81.306us      71.707ms         5.66%      71.707ms     629.013us           114  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      71.707ms         5.66%      71.707ms     629.013us           114  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      65.844ms         5.20%      65.844ms       1.317ms            50  
                                               aten::mm         0.12%       1.853ms         0.14%       2.136ms      82.167us      65.583ms         5.18%      65.583ms       2.522ms            26  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      42.701ms         3.37%      42.701ms      35.584us          1200  
        vllm::qwen_gdn_attention_core_fused_norm_packed        32.12%     491.735ms        58.26%     891.881ms     714.648us      27.412ms         2.16%      48.026ms      38.482us          1248  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      20.779ms         1.64%      20.779ms      17.316us          1200  
                                            aten::copy_         4.84%      74.150ms        10.63%     162.692ms      12.828us      19.752ms         1.56%      19.804ms       1.561us         12683  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      16.863ms         1.33%      16.863ms       3.161us          5334  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      15.028ms         1.19%      15.028ms       2.032us          7395  
