-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us     788.425ms        52.68%     788.425ms     110.858us          7112  
                   execute_context_0(0)_generation_1(5)         0.00%       0.000us         0.00%       0.000us       0.000us     708.546ms        47.34%     708.546ms     990.974us           715  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     397.028ms        26.53%     397.028ms     107.421us          3696  
                   execute_context_0(0)_generation_1(6)         0.00%       0.000us         0.00%       0.000us       0.000us     382.896ms        25.58%     382.896ms     981.786us           390  
                   execute_context_0(0)_generation_1(4)         0.00%       0.000us         0.00%       0.000us       0.000us     317.517ms        21.21%     317.517ms     976.974us           325  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us     188.897ms        12.62%     188.897ms     968.701us           195  
                                       vllm::all_reduce         0.46%       7.093ms         0.70%      10.817ms      77.262us     137.045ms         9.16%     137.045ms     978.895us           140  
                  execute_context_1(23)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      99.854ms         6.67%      99.854ms       1.536ms            65  
                                        _C::marlin_gemm         0.25%       3.847ms         0.52%       8.083ms      70.901us      71.706ms         4.79%      71.706ms     628.998us           114  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      71.706ms         4.79%      71.706ms     628.998us           114  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      65.845ms         4.40%      65.845ms       1.317ms            50  
                                               aten::mm         0.10%       1.471ms         0.11%       1.698ms      65.317us      65.581ms         4.38%      65.581ms       2.522ms            26  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      42.513ms         2.84%      42.513ms      35.428us          1200  
        vllm::qwen_gdn_attention_core_fused_norm_packed        28.43%     437.939ms        51.01%     785.769ms     629.623us      27.066ms         1.81%      47.653ms      38.184us          1248  
                                            aten::copy_         4.19%      64.621ms         9.20%     141.800ms      11.180us      20.758ms         1.39%      20.842ms       1.643us         12683  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      20.448ms         1.37%      20.448ms      17.040us          1200  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      16.997ms         1.14%      16.997ms       3.186us          5334  
