-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us     788.411ms        51.29%     788.411ms     110.856us          7112  
                   execute_context_0(0)_generation_1(5)         0.00%       0.000us         0.00%       0.000us       0.000us     710.179ms        46.20%     710.179ms     993.258us           715  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     436.432ms        28.39%     436.432ms     118.082us          3696  
                   execute_context_0(0)_generation_1(6)         0.00%       0.000us         0.00%       0.000us       0.000us     383.891ms        24.97%     383.891ms     984.335us           390  
                   execute_context_0(0)_generation_1(4)         0.00%       0.000us         0.00%       0.000us       0.000us     318.412ms        20.71%     318.412ms     979.729us           325  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us     189.496ms        12.33%     189.496ms     971.773us           195  
                                       vllm::all_reduce         0.47%       7.192ms         0.71%      10.871ms      77.653us     142.249ms         9.25%     142.249ms       1.016ms           140  
                  execute_context_1(23)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     100.099ms         6.51%     100.099ms       1.540ms            65  
                                        _C::marlin_gemm         0.26%       3.925ms         0.53%       8.163ms      71.601us      71.703ms         4.66%      71.703ms     628.970us           114  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      71.703ms         4.66%      71.703ms     628.970us           114  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      65.842ms         4.28%      65.842ms       1.317ms            50  
                                               aten::mm         0.10%       1.589ms         0.12%       1.833ms      70.503us      65.580ms         4.27%      65.580ms       2.522ms            26  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      42.576ms         2.77%      42.576ms      35.480us          1200  
        vllm::qwen_gdn_attention_core_fused_norm_packed        28.58%     437.163ms        51.38%     785.764ms     629.619us      27.162ms         1.77%      47.841ms      38.334us          1248  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      20.549ms         1.34%      20.549ms      17.124us          1200  
                                            aten::copy_         4.21%      64.389ms         9.30%     142.244ms      11.215us      20.081ms         1.31%      20.145ms       1.588us         12683  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      17.763ms         1.16%      17.763ms      69.932us           254  
