-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               execute_context_0(0)_generation_128(128)         0.00%       0.000us         0.00%       0.000us       0.000us       41.469s       156.29%       41.469s      82.279ms           504  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us        9.962s        37.54%        9.962s     149.090us         66816  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        8.777s        33.08%        8.777s     260.686us         33667  
fused_recurrent_gated_delta_rule_packed_decode_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us        3.592s        13.54%        3.592s     292.321us         12288  
               execute_context_99(7399)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.856s         6.99%        1.856s        1.856s             1  
                                       vllm::all_gather         0.09%      23.567ms         0.18%      45.747ms     176.630us        1.118s         4.22%        1.252s       4.834ms           259  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us        1.118s         4.22%        1.118s       4.318ms           259  
           execute_context_28(2116)_generation_100(100)         0.00%       0.000us         0.00%       0.000us       0.000us     578.560ms         2.18%     578.560ms     578.560ms             1  
                                  _C::cutlass_scaled_mm         0.03%       6.920ms         0.05%      11.876ms      45.852us     374.566ms         1.41%     376.116ms       1.452ms           259  
                                            aten::copy_         0.23%      56.907ms         0.67%     166.733ms      16.052us     370.935ms         1.40%     371.542ms      35.770us         10387  
void cutlass::Kernel2<enable_sm89_to_sm90<cutlass::g...         0.00%       0.000us         0.00%       0.000us       0.000us     370.656ms         1.40%     370.656ms       1.448ms           256  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us     343.422ms         1.29%     343.422ms       6.853us         50112  
               execute_context_0(0)_generation_127(127)         0.00%       0.000us         0.00%       0.000us       0.000us     340.069ms         1.28%     340.069ms      85.017ms             4  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     296.747ms         1.12%     296.747ms      71.060us          4176  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us     288.592ms         1.09%     288.592ms      17.277us         16704  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     203.584ms         0.77%     203.584ms     786.037us           259  
                                           aten::argmax         0.03%       6.997ms         0.05%      11.933ms      45.032us     150.001ms         0.57%     150.001ms     566.043us           265  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     149.592ms         0.56%     149.592ms     577.577us           259  
