-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               execute_context_0(0)_generation_128(128)         0.00%       0.000us         0.00%       0.000us       0.000us       41.469s       155.98%       41.469s      82.280ms           504  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us        9.945s        37.41%        9.945s     148.846us         66816  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        8.820s        33.17%        8.820s     261.967us         33667  
fused_recurrent_gated_delta_rule_packed_decode_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us        3.607s        13.57%        3.607s     293.566us         12288  
               execute_context_99(7399)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.856s         6.98%        1.856s        1.856s             1  
                                       vllm::all_gather         0.09%      23.593ms         0.18%      45.592ms     176.031us        1.113s         4.18%        1.243s       4.797ms           259  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us        1.113s         4.18%        1.113s       4.296ms           259  
           execute_context_28(2116)_generation_100(100)         0.00%       0.000us         0.00%       0.000us       0.000us     578.647ms         2.18%     578.647ms     578.647ms             1  
                                  _C::cutlass_scaled_mm         0.03%       7.231ms         0.05%      12.256ms      47.319us     378.220ms         1.42%     379.792ms       1.466ms           259  
void cutlass::Kernel2<enable_sm89_to_sm90<cutlass::g...         0.00%       0.000us         0.00%       0.000us       0.000us     374.277ms         1.41%     374.277ms       1.462ms           256  
                                            aten::copy_         0.23%      57.177ms         0.67%     166.468ms      16.027us     351.029ms         1.32%     352.213ms      33.909us         10387  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us     343.882ms         1.29%     343.882ms       6.862us         50112  
               execute_context_0(0)_generation_127(127)         0.00%       0.000us         0.00%       0.000us       0.000us     340.102ms         1.28%     340.102ms      85.026ms             4  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     301.131ms         1.13%     301.131ms      72.110us          4176  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us     288.717ms         1.09%     288.717ms      17.284us         16704  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     203.482ms         0.77%     203.482ms     785.647us           259  
                                           aten::argmax         0.03%       6.967ms         0.05%      11.919ms      44.979us     149.829ms         0.56%     149.829ms     565.394us           265  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     149.600ms         0.56%     149.600ms     577.605us           259  
