-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               execute_context_0(0)_generation_128(128)         0.00%       0.000us         0.00%       0.000us       0.000us       41.469s       156.45%       41.469s      82.280ms           504  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us        9.886s        37.30%        9.886s     147.964us         66816  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        8.807s        33.23%        8.807s     261.584us         33667  
fused_recurrent_gated_delta_rule_packed_decode_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us        3.609s        13.62%        3.609s     293.722us         12288  
               execute_context_99(7399)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.856s         7.00%        1.856s        1.856s             1  
                                       vllm::all_gather         0.10%      23.623ms         0.18%      45.160ms     174.364us        1.116s         4.21%        1.251s       4.831ms           259  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us        1.116s         4.21%        1.116s       4.310ms           259  
           execute_context_28(2116)_generation_100(100)         0.00%       0.000us         0.00%       0.000us       0.000us     578.676ms         2.18%     578.676ms     578.676ms             1  
                                  _C::cutlass_scaled_mm         0.03%       7.326ms         0.05%      12.239ms      47.254us     378.476ms         1.43%     380.053ms       1.467ms           259  
void cutlass::Kernel2<enable_sm89_to_sm90<cutlass::g...         0.00%       0.000us         0.00%       0.000us       0.000us     374.537ms         1.41%     374.537ms       1.463ms           256  
                                            aten::copy_         0.23%      56.251ms         0.66%     164.354ms      15.823us     351.275ms         1.33%     351.869ms      33.876us         10387  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us     346.431ms         1.31%     346.431ms       6.913us         50112  
               execute_context_0(0)_generation_127(127)         0.00%       0.000us         0.00%       0.000us       0.000us     340.052ms         1.28%     340.052ms      85.013ms             4  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     299.483ms         1.13%     299.483ms      71.715us          4176  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us     286.671ms         1.08%     286.671ms      17.162us         16704  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     202.938ms         0.77%     202.938ms     783.545us           259  
                                           aten::argmax         0.03%       6.793ms         0.05%      11.768ms      44.409us     149.810ms         0.57%     149.810ms     565.319us           265  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     149.573ms         0.56%     149.573ms     577.504us           259  
