-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      28.639ms         0.11%      28.639ms       2.313us         12384  
                    merge_16x16_to_64x64_inverse_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      27.367ms         0.10%      27.367ms     114.028us           240  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us      24.080ms         0.09%      24.080ms      34.059us           707  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      22.808ms         0.09%      22.808ms      95.033us           240  
                                     triton_poi_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us      22.629ms         0.09%      22.629ms       1.806us         12528  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.655ms         0.08%      20.655ms      86.064us           240  
                              _causal_conv1d_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      17.317ms         0.07%      17.317ms      72.152us           240  
                               recompute_w_u_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      16.520ms         0.06%      16.520ms      68.832us           240  
                               cudaStreamGetCaptureInfo         0.01%       1.652ms         0.01%       1.652ms       0.801us      16.281ms         0.06%      16.281ms       7.892us          2063  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      16.135ms         0.06%      16.135ms       4.366us          3696  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      14.691ms         0.06%      14.691ms     153.028us            96  
triton_poi_fused__to_copy_add_cat_clone_rms_norm_sli...         0.00%       0.000us         0.00%       0.000us       0.000us      14.678ms         0.06%      14.678ms       3.515us          4176  
                               triton_poi_fused_zeros_5         0.00%       0.000us         0.00%       0.000us       0.000us      13.899ms         0.05%      13.899ms       1.664us          8352  
                         reshape_and_cache_kernel_flash         0.00%       0.000us         0.00%       0.000us       0.000us      11.941ms         0.04%      11.941ms       2.859us          4176  
                                     triton_poi_fused_7         0.00%       0.000us         0.00%       0.000us       0.000us      11.776ms         0.04%      11.776ms       2.820us          4176  
triton_poi_fused_mul_per_token_group_fp8_quant_sigmo...         0.00%       0.000us         0.00%       0.000us       0.000us      11.498ms         0.04%      11.498ms       2.753us          4176  
                                     triton_red_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us      10.811ms         0.04%      10.811ms       2.589us          4176  
void vllm::scaled_fp8_quant_kernel_strided_group_sha...         0.00%       0.000us         0.00%       0.000us       0.000us      10.803ms         0.04%      10.803ms       2.587us          4176  
triton_poi_fused_arange_bitwise_and_eq_index_lt_rema...         0.00%       0.000us         0.00%       0.000us       0.000us      10.779ms         0.04%      10.779ms       2.581us          4176  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      10.685ms         0.04%      10.685ms       3.793us          2817  
                                    cudaLaunchKernelExC         0.03%       6.883ms         2.09%     519.434ms     601.197us      10.207ms         0.04%      13.781ms      15.950us           864  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      10.121ms         0.04%      10.121ms      42.171us           240  
                                _fused_post_conv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       9.166ms         0.03%       9.166ms      38.191us           240  
                        chunk_scaled_dot_kkt_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       7.700ms         0.03%       7.700ms      32.082us           240  
                               triton_poi_fused_zeros_4         0.00%       0.000us         0.00%       0.000us       0.000us       6.451ms         0.02%       6.451ms       1.648us          3915  
                                    cudaGetFuncBySymbol         0.01%       2.125ms         0.01%       2.125ms       2.063us       6.226ms         0.02%       6.226ms       6.044us          1030  
                                         cudaEventQuery         0.03%       8.086ms         0.03%       8.086ms       4.205us       6.035ms         0.02%       6.035ms       3.138us          1923  
                                     triton_poi_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us       5.703ms         0.02%       5.703ms       1.457us          3915  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       5.463ms         0.02%       5.463ms       3.067us          1781  
                                           Buffer Flush         0.08%      19.657ms         0.09%      22.312ms     603.017us       4.375ms         0.02%      32.536ms     879.349us            37  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       4.192ms         0.02%       4.192ms      43.670us            96  
void cutlass::Kernel2<enable_sm89_to_sm90<cutlass::g...         0.00%       0.000us         0.00%       0.000us       0.000us       3.943ms         0.01%       3.943ms       1.314ms             3  
                                 _zero_kv_blocks_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       3.310ms         0.01%       3.310ms       1.103ms             3  
                                           aten::gather         0.06%      14.089ms         0.11%      26.320ms      25.283us       3.005ms         0.01%       3.090ms       2.968us          1041  
triton_red_fused__to_copy_add_per_token_group_fp8_qu...         0.00%       0.000us         0.00%       0.000us       0.000us       2.630ms         0.01%       2.630ms      10.078us           261  
                       chunk_local_cumsum_scalar_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.235ms         0.01%       2.235ms       9.313us           240  
                                              aten::add         0.06%      15.800ms         0.12%      29.441ms      18.540us       2.091ms         0.01%       2.103ms       1.324us          1588  
                                     aten::masked_fill_         0.01%       2.980ms         0.02%       5.693ms      18.544us       2.086ms         0.01%       2.086ms       6.794us           307  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.024ms         0.01%       2.024ms       8.433us           240  
                                            aten::index         0.07%      17.102ms         0.16%      40.457ms      71.228us       2.018ms         0.01%       2.823ms       4.971us           568  
                            ChunkGatedDeltaRuleFunction         0.08%      20.354ms         0.11%      26.241ms     546.680us       2.001ms         0.01%       2.058ms      42.881us            48  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.972ms         0.01%       1.972ms       7.612us           259  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       1.809ms         0.01%       1.809ms       2.310us           783  
                                              aten::sub         0.06%      13.705ms         0.14%      35.298ms      28.103us       1.477ms         0.01%       1.497ms       1.192us          1256  
                 _C::dynamic_per_token_scaled_fp8_quant         0.02%       4.691ms         0.03%       7.361ms      28.421us       1.401ms         0.01%       1.408ms       5.438us           259  
