-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               execute_context_0(0)_generation_128(128)         0.00%       0.000us         0.00%       0.000us       0.000us       53.381s       161.81%       53.381s     105.915ms           504  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us       10.412s        31.56%       10.412s     155.836us         66816  
fused_recurrent_gated_delta_rule_packed_decode_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us        9.173s        27.80%        9.173s     749.398us         12240  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        8.762s        26.56%        8.762s     260.250us         33667  
              execute_context_104(7792)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us        2.041s         6.19%        2.041s        2.041s             1  
                                       vllm::all_gather         0.08%      23.932ms         0.14%      44.832ms     173.097us        1.111s         3.37%        1.239s       4.785ms           259  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us        1.111s         3.37%        1.111s       4.289ms           259  
                                               aten::mm         0.05%      16.367ms         0.06%      19.370ms      74.788us     746.698ms         2.26%     755.044ms       2.915ms           259  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     736.032ms         2.23%     736.032ms       2.886ms           255  
           execute_context_22(1649)_generation_106(106)         0.00%       0.000us         0.00%       0.000us       0.000us     487.042ms         1.48%     487.042ms     487.042ms             1  
                                            aten::copy_         0.19%      58.621ms         0.56%     174.155ms      16.073us     352.465ms         1.07%     353.355ms      32.612us         10835  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us     336.243ms         1.02%     336.243ms       6.710us         50112  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     308.557ms         0.94%     308.557ms       8.092us         38130  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     294.376ms         0.89%     294.376ms      70.492us          4176  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us     277.193ms         0.84%     277.193ms      16.594us         16704  
               execute_context_0(0)_generation_126(126)         0.00%       0.000us         0.00%       0.000us       0.000us     216.772ms         0.66%     216.772ms     108.386ms             2  
               execute_context_0(0)_generation_127(127)         0.00%       0.000us         0.00%       0.000us       0.000us     212.332ms         0.64%     212.332ms     106.166ms             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     204.862ms         0.62%     204.862ms     790.975us           259  
