-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                    merge_16x16_to_64x64_inverse_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      26.430ms         0.08%      26.430ms      91.772us           288  
                                       cudaLaunchKernel         0.31%      96.112ms         1.30%     404.098ms      30.651us      25.442ms         0.08%      42.380ms       3.215us         13184  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      25.415ms         0.08%      25.415ms       2.044us         12432  
ampere_bf16_s16816gemm_bf16_64x128_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us      23.624ms         0.07%      23.624ms     246.086us            96  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      21.835ms         0.07%      21.835ms      75.817us           288  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      17.489ms         0.05%      17.489ms       4.712us          3712  
                               cudaStreamGetCaptureInfo         0.01%       1.668ms         0.01%       1.668ms       0.810us      16.682ms         0.05%      16.682ms       8.098us          2060  
                               recompute_w_u_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      16.663ms         0.05%      16.663ms      57.858us           288  
                              _causal_conv1d_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      16.320ms         0.05%      16.320ms      56.666us           288  
triton_poi_fused__to_copy_add_cat_clone_rms_norm_sli...         0.00%       0.000us         0.00%       0.000us       0.000us      13.500ms         0.04%      13.500ms       3.233us          4176  
                        chunk_scaled_dot_kkt_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      12.970ms         0.04%      12.970ms      45.035us           288  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      12.694ms         0.04%      12.694ms       4.392us          2890  
                               triton_poi_fused_zeros_2         0.00%       0.000us         0.00%       0.000us       0.000us      12.609ms         0.04%      12.609ms       1.510us          8352  
                                         cuLaunchKernel         0.05%      15.633ms         0.92%     288.248ms     169.259us      12.137ms         0.04%      15.864ms       9.315us          1703  
                         reshape_and_cache_kernel_flash         0.00%       0.000us         0.00%       0.000us       0.000us      11.722ms         0.04%      11.722ms       2.807us          4176  
                                     triton_poi_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us      11.201ms         0.03%      11.201ms       2.682us          4176  
triton_poi_fused_mul_per_token_group_fp8_quant_sigmo...         0.00%       0.000us         0.00%       0.000us       0.000us      11.112ms         0.03%      11.112ms       2.661us          4176  
                                     triton_red_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us      10.256ms         0.03%      10.256ms       2.456us          4176  
