-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               execute_context_0(0)_generation_128(128)         0.00%       0.000us         0.00%       0.000us       0.000us       53.381s       161.94%       53.381s     105.915ms           504  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us       10.317s        31.30%       10.317s     154.416us         66816  
fused_recurrent_gated_delta_rule_packed_decode_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us        9.172s        27.83%        9.172s     749.374us         12240  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        8.876s        26.92%        8.876s     263.627us         33667  
              execute_context_104(7792)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us        2.041s         6.19%        2.041s        2.041s             1  
                                       vllm::all_gather         0.08%      24.628ms         0.15%      45.838ms     176.982us        1.103s         3.35%        1.232s       4.757ms           259  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us        1.103s         3.35%        1.103s       4.258ms           259  
                                               aten::mm         0.05%      16.440ms         0.06%      19.310ms      74.556us     744.806ms         2.26%     753.151ms       2.908ms           259  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     734.140ms         2.23%     734.140ms       2.879ms           255  
           execute_context_22(1649)_generation_106(106)         0.00%       0.000us         0.00%       0.000us       0.000us     486.979ms         1.48%     486.979ms     486.979ms             1  
                                            aten::copy_         0.19%      58.291ms         0.56%     173.091ms      15.975us     349.654ms         1.06%     350.551ms      32.354us         10835  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us     326.523ms         0.99%     326.523ms       6.516us         50112  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     308.413ms         0.94%     308.413ms       8.088us         38130  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     291.015ms         0.88%     291.015ms      69.687us          4176  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us     268.199ms         0.81%     268.199ms      16.056us         16704  
               execute_context_0(0)_generation_126(126)         0.00%       0.000us         0.00%       0.000us       0.000us     216.825ms         0.66%     216.825ms     108.412ms             2  
               execute_context_0(0)_generation_127(127)         0.00%       0.000us         0.00%       0.000us       0.000us     212.288ms         0.64%     212.288ms     106.144ms             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     205.251ms         0.62%     205.251ms     792.476us           259  
