-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
               execute_context_0(0)_generation_128(128)         0.00%       0.000us         0.00%       0.000us       0.000us       53.381s       162.41%       53.381s     105.915ms           504  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us       10.212s        31.07%       10.212s     152.840us         66816  
fused_recurrent_gated_delta_rule_packed_decode_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us        9.172s        27.91%        9.172s     749.362us         12240  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        8.879s        27.01%        8.879s     263.738us         33667  
              execute_context_104(7792)_generation_2(2)         0.00%       0.000us         0.00%       0.000us       0.000us        2.041s         6.21%        2.041s        2.041s             1  
                                       vllm::all_gather         0.08%      23.640ms         0.14%      44.378ms     171.345us        1.110s         3.38%        1.239s       4.784ms           259  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us        1.110s         3.38%        1.110s       4.285ms           259  
                                               aten::mm         0.05%      16.446ms         0.06%      19.504ms      75.304us     746.033ms         2.27%     754.372ms       2.913ms           259  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     735.374ms         2.24%     735.374ms       2.884ms           255  
           execute_context_22(1649)_generation_106(106)         0.00%       0.000us         0.00%       0.000us       0.000us     487.016ms         1.48%     487.016ms     487.016ms             1  
                                            aten::copy_         0.18%      57.446ms         0.56%     174.589ms      16.113us     349.298ms         1.06%     350.988ms      32.394us         10835  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us     327.968ms         1.00%     327.968ms       6.545us         50112  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     306.378ms         0.93%     306.378ms       8.035us         38130  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     290.637ms         0.88%     290.637ms      69.597us          4176  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us     267.592ms         0.81%     267.592ms      16.020us         16704  
               execute_context_0(0)_generation_126(126)         0.00%       0.000us         0.00%       0.000us       0.000us     216.755ms         0.66%     216.755ms     108.378ms             2  
               execute_context_0(0)_generation_127(127)         0.00%       0.000us         0.00%       0.000us       0.000us     212.311ms         0.65%     212.311ms     106.156ms             2  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     205.026ms         0.62%     205.026ms     791.606us           259  
