-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us     208.860ms         0.61%     208.860ms       1.934ms           108  
ampere_bf16_s16816gemm_bf16_64x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us     200.828ms         0.59%     200.828ms     410.691us           489  
                               recompute_w_u_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     165.761ms         0.49%     165.761ms     287.780us           576  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     156.725ms         0.46%     156.725ms       9.244us         16954  
                              _causal_conv1d_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     151.736ms         0.45%     151.736ms     263.431us           576  
                                _fused_post_conv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     149.758ms         0.44%     149.758ms     259.996us           576  
                 execute_context_0(0)_generation_57(57)         0.00%       0.000us         0.00%       0.000us       0.000us     141.210ms         0.41%     141.210ms      70.605ms             2  
                 execute_context_0(0)_generation_51(51)         0.00%       0.000us         0.00%       0.000us       0.000us     132.385ms         0.39%     132.385ms      66.192ms             2  
                 execute_context_0(0)_generation_45(45)         0.00%       0.000us         0.00%       0.000us       0.000us     125.299ms         0.37%     125.299ms      62.649ms             2  
                    vllm::unified_attention_with_output         0.13%      34.866ms         1.93%     522.919ms       2.724ms     124.671ms         0.37%     304.479ms       1.586ms           192  
                 execute_context_0(0)_generation_39(39)         0.00%       0.000us         0.00%       0.000us       0.000us     118.306ms         0.35%     118.306ms      59.153ms             2  
                 execute_context_0(0)_generation_33(33)         0.00%       0.000us         0.00%       0.000us       0.000us     115.785ms         0.34%     115.785ms      57.893ms             2  
