-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us       15.242s        44.77%       15.242s       1.094ms         13932  
                                       vllm::all_reduce         0.23%      79.782ms         2.77%     950.853ms     578.378us       13.755s        40.40%       18.338s      11.154ms          1644  
                                    Command Buffer Full        71.25%       24.425s        71.25%       24.425s       1.935ms       13.212s        38.81%       13.212s       1.047ms         12621  
                 execute_context_0(0)_generation_64(64)         0.00%       0.000us         0.00%       0.000us       0.000us       11.983s        35.20%       11.983s      72.186ms           166  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us       11.452s        33.64%       11.452s     414.200us         27648  
                 vllm::w8a8_triton_block_scaled_mm_func         0.63%     217.530ms         7.20%        2.469s     803.716us        8.333s        24.48%       12.219s       3.978ms          3072  
              execute_context_6(7158)_generation_49(49)         0.00%       0.000us         0.00%       0.000us       0.000us        2.576s         7.57%        2.576s        2.576s             1  
              execute_context_6(7136)_generation_55(55)         0.00%       0.000us         0.00%       0.000us       0.000us        2.559s         7.52%        2.559s        2.559s             1  
              execute_context_6(7200)_generation_31(31)         0.00%       0.000us         0.00%       0.000us       0.000us        2.559s         7.52%        2.559s        2.559s             1  
              execute_context_6(7141)_generation_37(37)         0.00%       0.000us         0.00%       0.000us       0.000us        2.538s         7.45%        2.538s        2.538s             1  
              execute_context_6(7184)_generation_13(13)         0.00%       0.000us         0.00%       0.000us       0.000us        2.533s         7.44%        2.533s        2.533s             1  
              execute_context_6(7147)_generation_25(25)         0.00%       0.000us         0.00%       0.000us       0.000us        2.529s         7.43%        2.529s        2.529s             1  
              execute_context_6(7123)_generation_43(43)         0.00%       0.000us         0.00%       0.000us       0.000us        2.523s         7.41%        2.523s        2.523s             1  
                execute_context_6(7177)_generation_7(7)         0.00%       0.000us         0.00%       0.000us       0.000us        2.522s         7.41%        2.522s        2.522s             1  
              execute_context_6(7114)_generation_19(19)         0.00%       0.000us         0.00%       0.000us       0.000us        2.511s         7.37%        2.511s        2.511s             1  
                execute_context_6(7142)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        2.499s         7.34%        2.499s        2.499s             1  
fused_recurrent_gated_delta_rule_packed_decode_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us        1.290s         3.79%        1.290s     279.891us          4608  
              execute_context_3(3605)_generation_61(61)         0.00%       0.000us         0.00%       0.000us       0.000us        1.280s         3.76%        1.280s        1.280s             1  
