-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(7840)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        5.090s        52.33%        5.090s        2.545s             2  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        3.806s        39.14%        3.806s       2.690ms          1415  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us        3.537s        36.37%        3.537s       1.256ms          2816  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us        1.054s        10.84%        1.054s       5.991ms           176  
                execute_context_1(1544)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     593.799ms         6.11%     593.799ms     593.799ms             1  
                execute_context_1(1568)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     577.742ms         5.94%     577.742ms     577.742ms             1  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     239.044ms         2.46%     239.044ms      39.841ms             6  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us     176.334ms         1.81%     176.334ms      83.492us          2112  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us     139.435ms         1.43%     139.435ms     198.061us           704  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us     123.007ms         1.26%     123.007ms     349.453us           352  
                                     chunk_fwd_kernel_o         0.00%       0.000us         0.00%       0.000us       0.000us     113.558ms         1.17%     113.558ms     295.725us           384  
triton_red_fused__to_copy_add_fused_add_rms_norm_per...         0.00%       0.000us         0.00%       0.000us       0.000us     111.214ms         1.14%     111.214ms     210.633us           528  
triton_red_fused__to_copy_add_fused_add_rms_norm_per...         0.00%       0.000us         0.00%       0.000us       0.000us      97.621ms         1.00%      97.621ms     277.333us           352  
         chunk_gated_delta_rule_fwd_kernel_h_blockdim64         0.00%       0.000us         0.00%       0.000us       0.000us      72.334ms         0.74%      72.334ms     188.369us           384  
     triton_red_fused__to_copy_add_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us      60.333ms         0.62%      60.333ms     342.803us           176  
                                       vllm::all_reduce         0.01%     679.274us         0.04%       2.598ms     371.179us      54.137ms         0.56%      56.375ms       8.054ms             7  
                    merge_16x16_to_64x64_inverse_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      54.010ms         0.56%      54.010ms     140.650us           384  
