-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(7840)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        5.090s        49.79%        5.090s        2.545s             2  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        4.510s        44.12%        4.510s       3.187ms          1415  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us        3.311s        32.38%        3.311s       1.176ms          2816  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us        1.076s        10.52%        1.076s       6.113ms           176  
                execute_context_1(1544)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     593.804ms         5.81%     593.804ms     593.804ms             1  
                execute_context_1(1568)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     577.739ms         5.65%     577.739ms     577.739ms             1  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     239.043ms         2.34%     239.043ms      39.841ms             6  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us     178.767ms         1.75%     178.767ms      84.643us          2112  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us     161.446ms         1.58%     161.446ms     229.327us           704  
                                     chunk_fwd_kernel_o         0.00%       0.000us         0.00%       0.000us       0.000us     126.442ms         1.24%     126.442ms     329.276us           384  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us     119.214ms         1.17%     119.214ms     338.675us           352  
triton_red_fused__to_copy_add_fused_add_rms_norm_per...         0.00%       0.000us         0.00%       0.000us       0.000us     104.545ms         1.02%     104.545ms     198.001us           528  
triton_red_fused__to_copy_add_fused_add_rms_norm_per...         0.00%       0.000us         0.00%       0.000us       0.000us      95.606ms         0.94%      95.606ms     271.607us           352  
         chunk_gated_delta_rule_fwd_kernel_h_blockdim64         0.00%       0.000us         0.00%       0.000us       0.000us      74.059ms         0.72%      74.059ms     192.861us           384  
     triton_red_fused__to_copy_add_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us      59.634ms         0.58%      59.634ms     338.831us           176  
ampere_bf16_s16816gemm_bf16_64x128_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us      51.988ms         0.51%      51.988ms     270.769us           192  
                    merge_16x16_to_64x64_inverse_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      51.759ms         0.51%      51.759ms     134.789us           384  
