-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(7840)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        5.090s        50.05%        5.090s        2.545s             2  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        4.435s        43.60%        4.435s       3.134ms          1415  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us        3.396s        33.39%        3.396s       1.206ms          2816  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us        1.078s        10.60%        1.078s       6.123ms           176  
                execute_context_1(1544)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     593.798ms         5.84%     593.798ms     593.798ms             1  
                execute_context_1(1568)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     577.736ms         5.68%     577.736ms     577.736ms             1  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     239.031ms         2.35%     239.031ms      39.838ms             6  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us     181.347ms         1.78%     181.347ms      85.865us          2112  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us     157.552ms         1.55%     157.552ms     223.796us           704  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us     119.100ms         1.17%     119.100ms     338.354us           352  
triton_red_fused__to_copy_add_fused_add_rms_norm_per...         0.00%       0.000us         0.00%       0.000us       0.000us     104.866ms         1.03%     104.866ms     198.610us           528  
triton_red_fused__to_copy_add_fused_add_rms_norm_per...         0.00%       0.000us         0.00%       0.000us       0.000us      95.901ms         0.94%      95.901ms     272.445us           352  
                                     chunk_fwd_kernel_o         0.00%       0.000us         0.00%       0.000us       0.000us      72.860ms         0.72%      72.860ms     189.740us           384  
         chunk_gated_delta_rule_fwd_kernel_h_blockdim64         0.00%       0.000us         0.00%       0.000us       0.000us      69.991ms         0.69%      69.991ms     182.269us           384  
                                       vllm::all_reduce         0.01%     682.004us         0.04%       2.542ms     363.201us      60.299ms         0.59%      62.469ms       8.924ms             7  
     triton_red_fused__to_copy_add_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us      60.058ms         0.59%      60.058ms     341.239us           176  
ampere_bf16_s16816gemm_bf16_64x128_ldg8_f2f_stages_6...         0.00%       0.000us         0.00%       0.000us       0.000us      51.335ms         0.50%      51.335ms     267.371us           192  
