-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(7840)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        6.295s        83.88%        6.295s        3.148s             2  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        3.536s        47.12%        3.536s       3.916ms           903  
                                       vllm::all_reduce         0.38%      29.512ms         5.02%     388.752ms     749.041us        3.530s        47.03%        4.219s       8.128ms           519  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us        2.113s        28.16%        2.113s       1.179ms          1792  
                 vllm::w8a8_triton_block_scaled_mm_func         1.01%      78.346ms         7.09%     548.565ms     535.708us        2.030s        27.05%        2.656s       2.594ms          1024  
                                    Command Buffer Full        60.96%        4.718s        60.96%        4.718s       2.007ms        1.802s        24.01%        1.802s     766.447us          2351  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     757.443ms        10.09%     757.443ms       6.763ms           112  
                    vllm::unified_attention_with_output         1.81%     139.767ms         1.84%     142.324ms       2.224ms     754.221ms        10.05%     762.930ms      11.921ms            64  
                execute_context_1(1544)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     659.219ms         8.78%     659.219ms     659.219ms             1  
                execute_context_1(1568)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     641.894ms         8.55%     641.894ms     641.894ms             1  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     237.449ms         3.16%     237.449ms      39.575ms             6  
                            ChunkGatedDeltaRuleFunction         1.22%      94.736ms        12.00%     928.414ms       4.835ms     187.569ms         2.50%     379.778ms       1.978ms           192  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us     158.635ms         2.11%     158.635ms     118.032us          1344  
                          _C::per_token_group_fp8_quant         0.08%       6.571ms         2.16%     167.211ms     217.723us     156.918ms         2.09%     206.564ms     268.964us           768  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us     124.181ms         1.65%     124.181ms     554.380us           224  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.03%       2.331ms         2.54%     196.748ms       1.537ms     123.867ms         1.65%     176.851ms       1.382ms           128  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us     113.253ms         1.51%     113.253ms     252.796us           448  
                       _C::silu_and_mul_per_block_quant         0.03%       2.629ms         7.01%     542.405ms       2.119ms     112.937ms         1.50%     151.219ms     590.701us           256  
