-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
triton_poi_fused_mul_per_token_group_fp8_quant_sigmo...         0.00%       0.000us         0.00%       0.000us       0.000us       8.379ms         0.11%       8.379ms      74.810us           112  
triton_poi_fused_mul_per_token_group_fp8_quant_sigmo...         0.01%     755.791us         0.02%       1.229ms      19.197us       8.324ms         0.11%       8.324ms     130.063us            64  
                                  Lazy Function Loading         0.01%     819.089us         0.01%     819.089us      51.193us       8.232ms         0.11%       8.232ms     514.491us            16  
triton_poi_fused__to_copy_add_cat_clone_rms_norm_sli...         0.00%       0.000us         0.00%       0.000us       0.000us       5.273ms         0.07%       5.273ms      47.080us           112  
triton_poi_fused__to_copy_add_cat_clone_rms_norm_sli...         0.01%     716.452us         0.41%      31.696ms     495.244us       5.187ms         0.07%       7.881ms     123.136us            64  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us       4.969ms         0.07%       4.969ms      44.363us           112  
                                     triton_poi_fused_2         0.01%     813.071us         2.87%     219.608ms       3.431ms       4.916ms         0.07%       7.328ms     114.498us            64  
                                     triton_red_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us       4.540ms         0.06%       4.540ms      40.533us           112  
                                     triton_red_fused_3         0.01%     735.688us         1.56%     119.288ms       1.864ms       4.475ms         0.06%       6.715ms     104.920us            64  
                         reshape_and_cache_kernel_flash         0.00%       0.000us         0.00%       0.000us       0.000us       3.878ms         0.05%       3.878ms      34.626us           112  
                          vllm::unified_kv_cache_update         0.11%       8.519ms         0.14%      10.955ms     171.168us       3.800ms         0.05%       3.800ms      59.369us            64  
                                     triton_poi_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us       2.713ms         0.04%       2.713ms      24.223us           112  
                                            aten::fill_         0.03%       1.919ms         0.90%      68.965ms     207.101us       2.712ms         0.04%       3.201ms       9.611us           333  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.667ms         0.04%       2.667ms      13.890us           192  
                                     triton_poi_fused_5         0.02%       1.158ms         0.74%      56.904ms     889.124us       2.639ms         0.04%       4.063ms      63.478us            64  
                                Activity Buffer Request         0.05%       3.916ms         0.05%       3.916ms       1.305ms       2.244ms         0.03%       2.244ms     748.132us             3  
                                            aten::index         0.06%       4.469ms         2.64%     201.322ms     977.292us       2.102ms         0.03%       3.230ms      15.680us           206  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.071ms         0.03%       2.071ms      10.406us           199  
                               triton_poi_fused_zeros_2         0.00%       0.000us         0.00%       0.000us       0.000us       1.764ms         0.02%       1.764ms       7.873us           224  
                                     aten::masked_fill_         0.53%      40.547ms         1.14%      87.423ms     439.312us       1.760ms         0.02%       2.589ms      13.011us           199  
                               triton_poi_fused_zeros_2         0.02%       1.502ms         2.02%     154.500ms       1.207ms       1.675ms         0.02%       2.482ms      19.390us           128  
void vllm::scaled_fp8_quant_kernel_strided_group_sha...         0.00%       0.000us         0.00%       0.000us       0.000us       1.591ms         0.02%       1.591ms      14.201us           112  
                            _C::static_scaled_fp8_quant         0.01%     811.699us         0.05%       4.176ms      65.245us       1.506ms         0.02%       1.599ms      24.988us            64  
               triton_red_fused__to_copy_add_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us       1.502ms         0.02%       1.502ms     214.618us             7  
               triton_red_fused__to_copy_add_rms_norm_1         0.00%      47.609us         0.00%      73.037us      18.259us       1.495ms         0.02%       1.495ms     373.733us             4  
                                    batch_memcpy_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.334ms         0.02%       1.334ms     444.785us             3  
                                 aten::_index_put_impl_         0.05%       4.170ms         1.37%     104.911ms     273.206us       1.287ms         0.02%       3.050ms       7.944us           384  
