-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(7840)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        6.295s        83.83%        6.295s        3.148s             2  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        3.463s        46.12%        3.463s       3.835ms           903  
                                       vllm::all_reduce         0.28%      21.156ms         5.29%     403.799ms     778.034us        3.456s        46.03%        4.162s       8.020ms           519  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us        2.140s        28.49%        2.140s       1.194ms          1792  
                 vllm::w8a8_triton_block_scaled_mm_func         0.91%      69.874ms         7.14%     545.154ms     532.377us        2.056s        27.38%        2.711s       2.648ms          1024  
                                    Command Buffer Full        63.36%        4.840s        63.36%        4.840s       1.927ms        1.891s        25.19%        1.891s     753.147us          2511  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     799.459ms        10.65%     799.459ms       7.138ms           112  
                    vllm::unified_attention_with_output         1.81%     138.043ms         1.83%     140.068ms       2.189ms     796.084ms        10.60%     804.593ms      12.572ms            64  
                execute_context_1(1544)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     659.216ms         8.78%     659.216ms     659.216ms             1  
                execute_context_1(1568)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     641.899ms         8.55%     641.899ms     641.899ms             1  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     237.458ms         3.16%     237.458ms      39.576ms             6  
                            ChunkGatedDeltaRuleFunction         1.05%      79.968ms        12.08%     922.826ms       4.806ms     191.480ms         2.55%     391.281ms       2.038ms           192  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us     159.561ms         2.12%     159.561ms     118.721us          1344  
                          _C::per_token_group_fp8_quant         0.07%       5.385ms         2.28%     173.870ms     226.394us     157.858ms         2.10%     212.856ms     277.157us           768  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us     124.695ms         1.66%     124.695ms     556.673us           224  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.03%       1.925ms         2.64%     201.777ms       1.576ms     124.369ms         1.66%     180.387ms       1.409ms           128  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us     115.688ms         1.54%     115.688ms     258.231us           448  
                       _C::silu_and_mul_per_block_quant         0.03%       2.083ms         6.96%     531.555ms       2.076ms     115.361ms         1.54%     155.923ms     609.073us           256  
