-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(7840)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        6.295s        83.83%        6.295s        3.147s             2  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        3.512s        46.77%        3.512s       3.889ms           903  
                                       vllm::all_reduce         0.37%      28.549ms         5.19%     396.684ms     764.324us        3.505s        46.68%        4.213s       8.117ms           519  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us        2.110s        28.11%        2.110s       1.178ms          1792  
                 vllm::w8a8_triton_block_scaled_mm_func         1.03%      78.744ms         7.17%     548.235ms     535.385us        2.027s        27.00%        2.645s       2.583ms          1024  
                                    Command Buffer Full        61.93%        4.732s        61.93%        4.732s       1.985ms        1.838s        24.47%        1.838s     770.893us          2384  
                               kernel_unified_attention         0.00%       0.000us         0.00%       0.000us       0.000us     774.586ms        10.32%     774.586ms       6.916ms           112  
                    vllm::unified_attention_with_output         1.85%     141.074ms         1.88%     143.335ms       2.240ms     771.340ms        10.27%     779.229ms      12.175ms            64  
                execute_context_1(1544)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     659.220ms         8.78%     659.220ms     659.220ms             1  
                execute_context_1(1568)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     641.899ms         8.55%     641.899ms     641.899ms             1  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     237.467ms         3.16%     237.467ms      39.578ms             6  
                            ChunkGatedDeltaRuleFunction         1.24%      95.007ms        12.16%     929.355ms       4.840ms     200.029ms         2.66%     407.205ms       2.121ms           192  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us     158.818ms         2.12%     158.818ms     118.168us          1344  
                          _C::per_token_group_fp8_quant         0.08%       6.433ms         2.21%     168.705ms     219.668us     157.158ms         2.09%     208.158ms     271.040us           768  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us     124.090ms         1.65%     124.090ms     553.974us           224  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.03%       2.334ms         2.54%     194.321ms       1.518ms     123.774ms         1.65%     176.732ms       1.381ms           128  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us     113.690ms         1.51%     113.690ms     253.772us           448  
                       _C::silu_and_mul_per_block_quant         0.03%       2.593ms         6.90%     527.486ms       2.060ms     113.373ms         1.51%     152.861ms     597.112us           256  
