-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(6272)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        3.568s        75.33%        3.568s        3.568s             1  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        3.101s        65.47%        3.101s       2.404ms          1290  
                                       vllm::all_reduce         0.01%       1.119ms         0.60%     117.108ms     440.255us        3.070s        64.82%        3.070s      11.541ms           266  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us        1.086s        22.92%        1.086s     424.112us          2560  
                execute_context_1(1542)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     885.048ms        18.69%     885.048ms     442.524ms             2  
                 vllm::w8a8_triton_block_scaled_mm_func         0.01%       2.735ms         1.30%     253.544ms     495.203us     863.514ms        18.23%     863.514ms       1.687ms           512  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     573.540ms        12.11%     573.540ms      35.846ms            16  
                            ChunkGatedDeltaRuleFunction         0.01%       1.215ms         5.02%     977.060ms      10.178ms      77.823ms         1.64%      79.047ms     823.406us            96  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      68.238ms         1.44%      68.238ms      35.541us          1920  
                          _C::per_token_group_fp8_quant         0.01%       2.762ms         1.23%     238.581ms     621.304us      63.522ms         1.34%      77.911ms     202.894us           384  
                    vllm::unified_attention_with_output         0.00%     183.505us         0.05%      10.154ms     317.302us      58.732ms         1.24%      58.732ms       1.835ms            32  
void flashinfer::BatchPrefillWithPagedKVCacheKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      58.732ms         1.24%      58.732ms       1.835ms            32  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us      51.311ms         1.08%      51.311ms     160.346us           320  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.00%     417.063us         0.71%     138.550ms       2.165ms      50.423ms         1.06%      50.423ms     787.857us            64  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      45.948ms         0.97%      45.948ms      71.794us           640  
                       _C::silu_and_mul_per_block_quant         0.01%       1.046ms         0.69%     133.873ms       1.046ms      45.062ms         0.95%      57.556ms     449.654us           128  
triton_red_fused__to_copy_add_fused_add_rms_norm_per...         0.00%       0.000us         0.00%       0.000us       0.000us      43.916ms         0.93%      43.916ms      91.492us           480  
