-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       4.240ms         0.09%       4.240ms      88.330us            48  
void flashinfer::BatchPrefillWithPagedKVCacheKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       3.396ms         0.07%       3.396ms      26.533us           128  
triton_poi_fused_mul_per_token_group_fp8_quant_sigmo...         0.00%       0.000us         0.00%       0.000us       0.000us       3.295ms         0.07%       3.295ms      20.596us           160  
triton_poi_fused_mul_per_token_group_fp8_quant_sigmo...         0.00%     187.871us         0.15%      22.546ms     704.562us       3.138ms         0.07%       3.138ms      98.057us            32  
                                     triton_poi_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us       3.031ms         0.06%       3.031ms      18.946us           160  
fused_recurrent_gated_delta_rule_packed_decode_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       2.967ms         0.06%       2.967ms       7.726us           384  
                                     triton_poi_fused_5         0.00%     179.524us         0.19%      27.513ms     859.777us       2.826ms         0.06%       2.826ms      88.312us            32  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us       1.940ms         0.04%       1.940ms      12.124us           160  
                               cudaEventRecordWithFlags         0.00%     162.647us         0.00%     176.642us       2.560us       1.931ms         0.04%       1.931ms      27.988us            69  
                                     triton_red_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us       1.888ms         0.04%       1.888ms      11.802us           160  
                                     triton_poi_fused_2         0.00%     198.443us         0.32%      46.973ms       1.468ms       1.802ms         0.04%       1.802ms      56.311us            32  
                                     triton_red_fused_3         0.00%     167.984us         0.02%       3.439ms     107.455us       1.720ms         0.04%       1.720ms      53.736us            32  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.582ms         0.03%       1.582ms       9.885us           160  
                                       vllm::all_gather         0.00%      76.514us         0.03%       3.776ms     377.570us       1.277ms         0.03%       1.277ms     127.689us            10  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       1.277ms         0.03%       1.277ms     127.689us            10  
                  _C_cache_ops::reshape_and_cache_flash         0.00%     370.546us         0.02%       2.410ms      75.321us       1.115ms         0.02%       1.163ms      36.345us            32  
                                            aten::index         0.02%       2.512ms         0.96%     140.297ms       1.209ms     992.952us         0.02%       1.633ms      14.077us           116  
                               triton_poi_fused_zeros_2         0.00%       0.000us         0.00%       0.000us       0.000us     978.558us         0.02%     978.558us       3.058us           320  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     950.329us         0.02%     950.329us       8.965us           106  
                                            aten::fill_         0.01%       1.265ms         0.39%      56.881ms     201.704us     941.882us         0.02%       1.198ms       4.247us           282  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     908.187us         0.02%     908.187us       9.460us            96  
