-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(6272)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        3.568s        75.40%        3.568s        3.568s             1  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        3.121s        65.96%        3.121s       2.419ms          1290  
                                       vllm::all_reduce         0.01%       1.188ms         0.58%     111.911ms     420.717us        3.088s        65.26%        3.088s      11.608ms           266  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us        1.071s        22.63%        1.071s     418.223us          2560  
                execute_context_1(1542)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     880.392ms        18.61%     880.392ms     440.196ms             2  
                 vllm::w8a8_triton_block_scaled_mm_func         0.01%       2.830ms         1.30%     252.745ms     493.642us     849.740ms        17.96%     849.740ms       1.660ms           512  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     573.552ms        12.12%     573.552ms      35.847ms            16  
                            ChunkGatedDeltaRuleFunction         0.01%       1.419ms         5.03%     978.731ms      10.195ms      74.403ms         1.57%      75.605ms     787.555us            96  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      68.201ms         1.44%      68.201ms      35.521us          1920  
                          _C::per_token_group_fp8_quant         0.01%       2.908ms         1.22%     236.969ms     617.107us      63.724ms         1.35%      78.133ms     203.470us           384  
                    vllm::unified_attention_with_output         0.00%     194.256us         0.05%      10.554ms     329.803us      58.124ms         1.23%      58.124ms       1.816ms            32  
void flashinfer::BatchPrefillWithPagedKVCacheKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      58.124ms         1.23%      58.124ms       1.816ms            32  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us      50.964ms         1.08%      50.964ms     159.262us           320  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.00%     418.927us         0.72%     139.480ms       2.179ms      50.120ms         1.06%      50.120ms     783.125us            64  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      45.560ms         0.96%      45.560ms      71.188us           640  
                       _C::silu_and_mul_per_block_quant         0.01%       1.108ms         0.68%     132.171ms       1.033ms      44.727ms         0.95%      57.114ms     446.201us           128  
triton_red_fused__to_copy_add_fused_add_rms_norm_per...         0.00%       0.000us         0.00%       0.000us       0.000us      43.932ms         0.93%      43.932ms      91.524us           480  
