-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(6272)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        3.568s        75.33%        3.568s        3.568s             1  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us        3.114s        65.75%        3.114s       2.414ms          1290  
                                       vllm::all_reduce         0.01%       1.148ms         0.58%     112.276ms     422.091us        3.081s        65.06%        3.081s      11.583ms           266  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us        1.078s        22.75%        1.078s     420.929us          2560  
                execute_context_1(1542)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     884.608ms        18.68%     884.608ms     442.304ms             2  
                 vllm::w8a8_triton_block_scaled_mm_func         0.01%       2.877ms         1.31%     254.873ms     497.799us     856.577ms        18.09%     856.577ms       1.673ms           512  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     573.545ms        12.11%     573.545ms      35.847ms            16  
                            ChunkGatedDeltaRuleFunction         0.01%       1.463ms         5.04%     980.213ms      10.211ms      74.041ms         1.56%      75.313ms     784.513us            96  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      67.931ms         1.43%      67.931ms      35.381us          1920  
                          _C::per_token_group_fp8_quant         0.02%       2.975ms         1.22%     236.949ms     617.054us      63.395ms         1.34%      77.756ms     202.489us           384  
                    vllm::unified_attention_with_output         0.00%     211.709us         0.06%      11.053ms     345.393us      58.402ms         1.23%      58.402ms       1.825ms            32  
void flashinfer::BatchPrefillWithPagedKVCacheKernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      58.402ms         1.23%      58.402ms       1.825ms            32  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.00%       0.000us         0.00%       0.000us       0.000us      51.205ms         1.08%      51.205ms     160.016us           320  
     triton_red_fused__to_copy_add_fused_add_rms_norm_1         0.00%     467.944us         0.72%     139.244ms       2.176ms      50.348ms         1.06%      50.348ms     786.693us            64  
void vllm::silu_and_mul_per_block_quant_kernel<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us      45.643ms         0.96%      45.643ms      71.317us           640  
                       _C::silu_and_mul_per_block_quant         0.01%       1.123ms         0.68%     133.196ms       1.041ms      44.792ms         0.95%      57.210ms     446.957us           128  
triton_red_fused__to_copy_add_fused_add_rms_norm_per...         0.00%       0.000us         0.00%       0.000us       0.000us      43.794ms         0.92%      43.794ms      91.237us           480  
