-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us        1.299s        80.72%        1.299s     869.191us          1495  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us     765.316ms        47.54%     765.316ms     112.282us          6816  
                                               aten::mm         0.41%       6.513ms         0.53%       8.284ms      43.144us     469.236ms        29.15%     469.236ms       2.444ms           192  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     425.881ms        26.46%     425.881ms       1.361ms           313  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     196.973ms        12.24%     196.973ms      54.715us          3600  
                  execute_context_1(23)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     106.634ms         6.62%     106.634ms       1.641ms            65  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      60.756ms         3.77%      60.756ms       1.321ms            46  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      39.733ms         2.47%      39.733ms      35.990us          1104  
        vllm::qwen_gdn_attention_core_fused_norm_packed        27.89%     438.543ms        50.21%     789.632ms     685.444us      32.151ms         2.00%      51.595ms      44.788us          1152  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      25.624ms         1.59%      25.624ms      23.210us          1104  
                                            aten::copy_         4.37%      68.723ms         9.71%     152.759ms      12.453us      19.975ms         1.24%      20.037ms       1.633us         12267  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      15.652ms         0.97%      15.652ms       3.062us          5112  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      14.071ms         0.87%      14.071ms       2.065us          6815  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      13.305ms         0.83%      13.305ms      36.959us           360  
                                       vllm::all_reduce         0.63%       9.871ms         0.98%      15.408ms      80.251us      10.731ms         0.67%      10.744ms      55.959us           192  
                                       vllm::all_gather         0.83%      13.020ms         1.31%      20.633ms     107.461us      10.213ms         0.63%      10.470ms      54.529us           192  
                           _causal_conv1d_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.218ms         0.26%       4.218ms       3.821us          1104  
