-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
triton_poi_fused__to_copy_add_cat_clone_rms_norm_sli...         0.00%       0.000us         0.00%       0.000us       0.000us     992.255us         0.06%     992.255us       1.798us           552  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     959.899us         0.06%     959.899us       0.915us          1049  
void vllm::scaled_fp8_quant_kernel_strided_group_sha...         0.00%       0.000us         0.00%       0.000us       0.000us     938.298us         0.06%     938.298us       1.700us           552  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     927.456us         0.06%     927.456us       2.845us           326  
                                     triton_poi_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us     856.755us         0.05%     856.755us       1.552us           552  
triton_poi_fused_arange_bitwise_and_eq_index_lt_rema...         0.00%       0.000us         0.00%       0.000us       0.000us     806.941us         0.05%     806.941us       2.101us           384  
                               triton_poi_fused_zeros_2         0.00%       0.000us         0.00%       0.000us       0.000us     714.047us         0.04%     714.047us       0.930us           768  
                                     aten::index_select         0.16%       2.564ms         0.37%       5.774ms      26.730us     536.255us         0.03%     539.871us       2.499us           216  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     536.255us         0.03%     536.255us       2.822us           190  
                                     aten::masked_fill_         0.15%       2.409ms         0.38%       6.022ms      25.094us     534.372us         0.03%     536.452us       2.235us           240  
                                     triton_red_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us     510.726us         0.03%     510.726us       1.330us           384  
                                           aten::gather         0.19%       3.035ms         0.31%       4.834ms      19.975us     494.303us         0.03%     494.303us       2.043us           242  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     490.687us         0.03%     490.687us       2.045us           240  
                                     triton_poi_fused_0         0.00%       0.000us         0.00%       0.000us       0.000us     462.141us         0.03%     462.141us       2.751us           168  
                                              aten::add         0.21%       3.240ms         0.32%       5.028ms      14.920us     448.157us         0.03%     448.157us       1.330us           337  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us     425.247us         0.03%     425.247us       1.107us           384  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     411.299us         0.03%     411.299us       2.142us           192  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     375.968us         0.02%     375.968us       2.238us           168  
