-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us        1.294s        82.50%        1.294s     865.285us          1495  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us     765.112ms        48.79%     765.112ms     112.252us          6816  
                                               aten::mm         0.43%       6.808ms         0.54%       8.571ms      44.642us     469.242ms        29.92%     469.242ms       2.444ms           192  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     425.887ms        27.16%     425.887ms       1.361ms           313  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     157.600ms        10.05%     157.600ms      43.778us          3600  
                  execute_context_1(23)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     106.484ms         6.79%     106.484ms       1.638ms            65  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      60.754ms         3.87%      60.754ms       1.321ms            46  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      39.415ms         2.51%      39.415ms      35.702us          1104  
        vllm::qwen_gdn_attention_core_fused_norm_packed        27.45%     438.228ms        49.34%     787.799ms     683.853us      31.833ms         2.03%      51.274ms      44.508us          1152  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      25.297ms         1.61%      25.297ms      22.914us          1104  
                                            aten::copy_         4.23%      67.590ms         9.50%     151.702ms      12.367us      20.946ms         1.34%      21.025ms       1.714us         12267  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      15.692ms         1.00%      15.692ms       3.070us          5112  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      14.048ms         0.90%      14.048ms       2.061us          6815  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      10.892ms         0.69%      10.892ms      30.255us           360  
                                       vllm::all_gather         0.82%      13.021ms         1.31%      20.942ms     109.074us       9.026ms         0.58%       9.273ms      48.298us           192  
                           _causal_conv1d_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       4.223ms         0.27%       4.223ms       3.826us          1104  
                    vllm::unified_attention_with_output         5.66%      90.442ms         6.84%     109.277ms     197.966us       3.885ms         0.25%       3.885ms       7.038us           552  
