-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us        1.299s        82.05%        1.299s     868.792us          1495  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us     765.742ms        48.37%     765.742ms     112.345us          6816  
                                               aten::mm         0.40%       6.330ms         0.51%       8.063ms      41.995us     469.223ms        29.64%     469.223ms       2.444ms           192  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     425.877ms        26.90%     425.877ms       1.361ms           313  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     168.750ms        10.66%     168.750ms      46.875us          3600  
                  execute_context_1(23)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     106.816ms         6.75%     106.816ms       1.643ms            65  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      60.746ms         3.84%      60.746ms       1.321ms            46  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      40.055ms         2.53%      40.055ms      36.281us          1104  
        vllm::qwen_gdn_attention_core_fused_norm_packed        27.68%     438.249ms        50.16%     794.257ms     689.459us      32.289ms         2.04%      51.753ms      44.924us          1152  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      25.698ms         1.62%      25.698ms      23.278us          1104  
                                            aten::copy_         4.31%      68.205ms         9.58%     151.727ms      12.369us      20.111ms         1.27%      20.174ms       1.645us         12267  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      15.697ms         0.99%      15.697ms       3.071us          5112  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      14.161ms         0.89%      14.161ms       2.078us          6815  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      13.146ms         0.83%      13.146ms      36.518us           360  
                                       vllm::all_reduce         0.62%       9.839ms         0.95%      15.105ms      78.673us      11.107ms         0.70%      11.107ms      57.851us           192  
                                       vllm::all_gather         0.80%      12.737ms         1.28%      20.262ms     105.530us       9.979ms         0.63%      10.231ms      53.287us           192  
                                        cudaGraphLaunch         4.90%      77.594ms         5.01%      79.311ms      41.831us       5.137ms         0.32%       5.137ms       2.709us          1896  
