-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(5)         0.00%       0.000us         0.00%       0.000us       0.000us        1.043s        82.93%        1.043s      37.234ms            28  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us     783.929ms        62.36%     783.929ms     110.413us          7100  
                   execute_context_0(0)_generation_1(4)         0.00%       0.000us         0.00%       0.000us       0.000us     292.866ms        23.30%     292.866ms      36.608ms             8  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us     235.819ms        18.76%     235.819ms      39.303ms             6  
                   execute_context_0(0)_generation_1(6)         0.00%       0.000us         0.00%       0.000us       0.000us     227.423ms        18.09%     227.423ms      37.904ms             6  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     133.920ms        10.65%     133.920ms      35.712us          3750  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us     109.812ms         8.73%     109.812ms     627.498us           175  
                  execute_context_1(23)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      96.852ms         7.70%      96.852ms       1.490ms            65  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      63.157ms         5.02%      63.157ms       1.316ms            48  
                                               aten::mm         0.12%       1.533ms         0.14%       1.778ms      71.130us      63.044ms         5.01%      63.044ms       2.522ms            25  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      41.423ms         3.29%      41.423ms      35.957us          1152  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      19.676ms         1.57%      19.676ms      17.080us          1152  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      17.920ms         1.43%      17.920ms     118.678us           151  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      16.415ms         1.31%      16.415ms       3.083us          5325  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      11.816ms         0.94%      11.816ms       1.663us          7105  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us       9.958ms         0.79%       9.958ms      26.553us           375  
                                       vllm::all_gather         0.18%       2.350ms         0.35%       4.562ms     175.464us       6.198ms         0.49%       6.394ms     245.916us            26  
