-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(5)         0.00%       0.000us         0.00%       0.000us       0.000us        1.043s        84.12%        1.043s      37.237ms            28  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us     786.236ms        63.43%     786.236ms     110.737us          7100  
                   execute_context_0(0)_generation_1(4)         0.00%       0.000us         0.00%       0.000us       0.000us     292.908ms        23.63%     292.908ms      36.613ms             8  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us     235.855ms        19.03%     235.855ms      39.309ms             6  
                   execute_context_0(0)_generation_1(6)         0.00%       0.000us         0.00%       0.000us       0.000us     227.449ms        18.35%     227.449ms      37.908ms             6  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us     109.907ms         8.87%     109.907ms     628.042us           175  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     108.170ms         8.73%     108.170ms      28.845us          3750  
                  execute_context_1(23)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      97.168ms         7.84%      97.168ms       1.495ms            65  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      63.171ms         5.10%      63.171ms       1.316ms            48  
                                               aten::mm         0.47%       1.514ms         0.55%       1.760ms      70.398us      63.054ms         5.09%      63.054ms       2.522ms            25  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      43.470ms         3.51%      43.470ms      37.735us          1152  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      20.685ms         1.67%      20.685ms      17.956us          1152  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      17.939ms         1.45%      17.939ms     118.799us           151  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      16.496ms         1.33%      16.496ms       3.098us          5325  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.408ms         1.00%      12.408ms       1.746us          7105  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      10.384ms         0.84%      10.384ms      27.691us           375  
                                       vllm::all_gather         0.82%       2.626ms         1.54%       4.898ms     188.400us       6.348ms         0.51%       6.553ms     252.054us            26  
