-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     triton_poi_fused_5         0.00%       0.000us         0.00%       0.000us       0.000us     631.131us         0.05%     631.131us       1.578us           400  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us     624.740us         0.05%     624.740us       1.087us           575  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     604.228us         0.05%     604.228us       1.180us           512  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     556.004us         0.04%     556.004us       3.159us           176  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     517.335us         0.04%     517.335us       1.495us           346  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     507.899us         0.04%     507.899us       2.902us           175  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     486.900us         0.04%     486.900us       1.391us           350  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us     444.384us         0.03%     444.384us       2.244us           198  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us     399.833us         0.03%     399.833us       1.599us           250  
        vllm::qwen_gdn_attention_core_fused_norm_packed         6.29%      18.318ms        19.64%      57.166ms       1.191ms     395.421us         0.03%       2.997ms      62.428us            48  
                                     triton_red_fused_0         0.00%       0.000us         0.00%       0.000us       0.000us     389.555us         0.03%     389.555us       2.226us           175  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     374.420us         0.03%     374.420us       1.872us           200  
triton_red_fused__to_copy_add_per_token_group_fp8_qu...         0.00%       0.000us         0.00%       0.000us       0.000us     374.138us         0.03%     374.138us       2.138us           175  
                            _update_draft_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     360.986us         0.03%     360.986us       2.407us           150  
                    merge_16x16_to_64x64_inverse_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     346.425us         0.03%     346.425us       7.217us            48  
                                     triton_poi_fused_4         0.00%       0.000us         0.00%       0.000us       0.000us     345.020us         0.03%     345.020us       1.972us           175  
                               triton_poi_fused_zeros_3         0.00%       0.000us         0.00%       0.000us       0.000us     339.637us         0.03%     339.637us       0.906us           375  
                                        reduce_segments         0.00%       0.000us         0.00%       0.000us       0.000us     321.088us         0.03%     321.088us       2.141us           150  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us     314.326us         0.02%     314.326us       0.878us           358  
triton_poi_fused__to_copy_add_cat_clone_rms_norm_sli...         0.00%       0.000us         0.00%       0.000us       0.000us     304.891us         0.02%     304.891us       1.742us           175  
                                 aten::_index_put_impl_         0.41%       1.184ms         1.34%       3.904ms      32.262us     284.156us         0.02%     483.515us       3.996us           121  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     278.910us         0.02%     278.910us       5.692us            49  
                     _compute_local_logits_stats_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     251.580us         0.02%     251.580us      10.483us            24  
                               recompute_w_u_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     248.959us         0.02%     248.959us       5.187us            48  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     241.854us         0.02%     241.854us       3.225us            75  
         chunk_gated_delta_rule_fwd_kernel_h_blockdim64         0.00%       0.000us         0.00%       0.000us       0.000us     238.784us         0.02%     238.784us       4.975us            48  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     222.783us         0.02%     222.783us       1.273us           175  
                                              aten::sub         0.73%       2.138ms         1.23%       3.585ms      13.841us     210.495us         0.02%     210.495us       0.813us           259  
                              _causal_conv1d_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     209.213us         0.02%     209.213us       4.359us            48  
                                     chunk_fwd_kernel_o         0.00%       0.000us         0.00%       0.000us       0.000us     208.608us         0.02%     208.608us       4.346us            48  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     204.701us         0.02%     204.701us       4.265us            48  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us     203.837us         0.02%     203.837us       1.165us           175  
                                       _resample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     193.214us         0.02%     193.214us       8.051us            24  
triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mu...         0.00%       0.000us         0.00%       0.000us       0.000us     185.401us         0.01%     185.401us       1.236us           150  
                                     aten::masked_fill_         0.22%     640.266us         0.42%       1.208ms      16.327us     182.241us         0.01%     182.241us       2.463us            74  
