-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(5)         0.00%       0.000us         0.00%       0.000us       0.000us        1.043s        82.03%        1.043s      37.238ms            28  
                           _w8a8_triton_block_scaled_mm         0.00%       0.000us         0.00%       0.000us       0.000us     785.472ms        61.79%     785.472ms     110.630us          7100  
                   execute_context_0(0)_generation_1(4)         0.00%       0.000us         0.00%       0.000us       0.000us     292.911ms        23.04%     292.911ms      36.614ms             8  
                   execute_context_0(0)_generation_1(8)         0.00%       0.000us         0.00%       0.000us       0.000us     235.848ms        18.55%     235.848ms      39.308ms             6  
                   execute_context_0(0)_generation_1(6)         0.00%       0.000us         0.00%       0.000us       0.000us     227.451ms        17.89%     227.451ms      37.908ms             6  
ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKern...         0.00%       0.000us         0.00%       0.000us       0.000us     141.860ms        11.16%     141.860ms      37.829us          3750  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us     109.883ms         8.64%     109.883ms     627.902us           175  
                  execute_context_1(23)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      97.008ms         7.63%      97.008ms       1.492ms            65  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      63.172ms         4.97%      63.172ms       1.316ms            48  
                                               aten::mm         0.53%       1.623ms         0.61%       1.871ms      74.845us      63.056ms         4.96%      63.056ms       2.522ms            25  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      43.076ms         3.39%      43.076ms      37.392us          1152  
          fused_sigmoid_gating_delta_rule_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      20.220ms         1.59%      20.220ms      17.552us          1152  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      17.928ms         1.41%      17.928ms     118.726us           151  
void per_token_group_quant_8bit_kernel<c10::BFloat16...         0.00%       0.000us         0.00%       0.000us       0.000us      16.374ms         1.29%      16.374ms       3.075us          5325  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      12.228ms         0.96%      12.228ms       1.721us          7105  
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsSto...         0.00%       0.000us         0.00%       0.000us       0.000us      10.491ms         0.83%      10.491ms      27.976us           375  
                                       vllm::all_gather         0.86%       2.639ms         1.65%       5.055ms     194.412us       6.120ms         0.48%       6.323ms     243.183us            26  
